"entity_id";"entity_name";"entity_typ";"origin_entity_id";"origin_entity_typ";"param_id";"param_lnk_typ_nme";"param_nme";"param_nme_unq";"param_typ";"param_val";"pl_id";"_tech_exec_job_id";"_tech_load_dt"
138477790;wf_SKUAD_HIVE_DL_RAW_2_HIVE_DL_SKUADOK_SKUAD_DECL_USN_full__tsk_sql_transformer_DL_SKUADOK_SKUAD_DECL_USN_snapshot_full;TASK;;;698456769;SRC;tbl_camsknp_complex;wf_SKUAD_HIVE_DL_RAW_2_HIVE_DL_SKUADOK_SKUAD_DECL_USN_full__tsk_sql_transformer_DL_SKUADOK_SKUAD_DECL_USN_snapshot_full__tbl_camsknp_complex;TABLE_NAME;cp_[adh1_hive]_[dp_dsb]_[default]_[]__dl_raw__camsknp_complex;698456770;"863147565";2025-08-18 15:28:44.000
221214363;wf_TM_HIVE_DL_RAW_2_ADD_DL_TM_1152017_USN_2_4__tsk_sql_transformer_DL_TM_T1152017_DOCUMENT;TASK;;;296205866;SRC;tbl_camsnbo_incsdocument_state;wf_TM_HIVE_DL_RAW_2_ADD_DL_TM_1152017_USN_2_4__tsk_sql_transformer_DL_TM_T1152017_DOCUMENT__tbl_camsnbo_incsdocument_state;TABLE_NAME;cp_[adh1_hive]_[dp_dsb]_[default]_[]__dl_raw__camsnbo_incsdocument_state;296205868;"863147565";2025-08-18 15:28:44.000
316079802;wf_TM_HIVE_DL_TM_2_DL_IAR_VSONR_VODNAL__tsk_sql_transformer_DL_IAR_VSONR_VODNAL_full;TASK;;;316079809;SRC;tbl_t1151072_r1_t;wf_TM_HIVE_DL_TM_2_DL_IAR_VSONR_VODNAL__tsk_sql_transformer_DL_IAR_VSONR_VODNAL_full__tbl_t1151072_r1_t;TABLE_NAME;host_hdp_eiap__hive_eiap_db__dl_tm__t1151072_r1_t;316079821;"863147565";2025-08-18 15:28:44.000
402676350;wf_TM_HIVE_DL_RAW_2_DL_IAR_T1152011_DOCUMENT_full__tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full;TASK;;;402676426;SRC;tbl_camsnbo_incsdocument_state;wf_TM_HIVE_DL_RAW_2_DL_IAR_T1152011_DOCUMENT_full__tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full__tbl_camsnbo_incsdocument_state;TABLE_NAME;cp_[adh1_hive]_[dp_dsb]_[default]_[]__dl_raw__camsnbo_incsdocument_state;402676755;"863147565";2025-08-18 15:28:44.000
445188141;wf_TM_HIVE_DL_RAW_2_ADD_DL_STAT_VSSTAT_5NDPI_1151054_2019_full__tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full;TASK;;;445188150;SRC;tbl_camsnbo_incsdocument;wf_TM_HIVE_DL_RAW_2_ADD_DL_STAT_VSSTAT_5NDPI_1151054_2019_full__tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full__tbl_camsnbo_incsdocument;TABLE_NAME;host_hdp_eiap__hive_eiap_db__dl_raw__camsnbo_incsdocument;445188182;"863147565";2025-08-18 15:28:44.000
492922573;wf_TM_HIVE_DL_RAW_2_DL_VPD_VSVPD_1151090_AKCIZ_ETHYL_AGGREGATE_full__tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full;TASK;;;492922584;SRC;tbl_camsnbo_incsdocument;wf_TM_HIVE_DL_RAW_2_DL_VPD_VSVPD_1151090_AKCIZ_ETHYL_AGGREGATE_full__tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full__tbl_camsnbo_incsdocument;TABLE_NAME;host_hdp_eiap__hive_eiap_db__dl_raw__camsnbo_incsdocument;492922617;"863147565";2025-08-18 15:28:44.000
722558401;wf_DFL_HIVE_DL_RAW_2_HIVE_DL_DFL_RR_full__tsk_sql_transformer_DL_DFL_RSV_REDUCE_RATES_WIDE_full;TASK;;;722558414;SRC;tbl_camsknp_complex;wf_DFL_HIVE_DL_RAW_2_HIVE_DL_DFL_RR_full__tsk_sql_transformer_DL_DFL_RSV_REDUCE_RATES_WIDE_full__tbl_camsknp_complex;TABLE_NAME;cp_[adh1_hive]_[dp_dsb]_[default]_[]__dl_raw__camsknp_complex;722558433;"863147565";2025-08-18 15:28:44.000
748665124;wf_TM_HIVE_DL_RAW_2_ADD_DL_STAT_VSSTAT_5NDPI_1151054_2024_full__tsk_sql_transformer_DL_TMP_NBO_ACTUAL_5NDPI_2024_full;TASK;;;748665137;SRC;tbl_camsnbo_incsdocument;wf_TM_HIVE_DL_RAW_2_ADD_DL_STAT_VSSTAT_5NDPI_1151054_2024_full__tsk_sql_transformer_DL_TMP_NBO_ACTUAL_5NDPI_2024_full__tbl_camsnbo_incsdocument;TABLE_NAME;host_hdp_eiap__hive_eiap_db__dl_raw__camsnbo_incsdocument;748665181;"863147565";2025-08-18 15:28:44.000
752846838;wf_TM_HIVE_DL_STAT_2_ADB_TM_ALL_TABLE_5P_2024_full__tsk_transformer_DL_TMP_VSSTAT_5P_1110056_full;TASK;;;752846954;SRC;tbl_camsnbo_incsdocument;wf_TM_HIVE_DL_STAT_2_ADB_TM_ALL_TABLE_5P_2024_full__tsk_transformer_DL_TMP_VSSTAT_5P_1110056_full__tbl_camsnbo_incsdocument;TABLE_NAME;host_hdp_eiap__hive_eiap_db__dl_raw__camsnbo_incsdocument;752846955;"863147565";2025-08-18 15:28:44.000
765675357;wf_[adh3_hive]_[dp_dsb]_[dl_raw]_2_[adh1_hive]_[dp_dsb]_[dl_raw]_[full_camsnbo_copy_data]__tsk_import_[dl_raw]_[camsnbo_incsdocument]_[copy_data];TASK;;;765675390;TRG;targetEntity;wf_[adh3_hive]_[dp_dsb]_[dl_raw]_2_[adh1_hive]_[dp_dsb]_[dl_raw]_[full_camsnbo_copy_data]__tsk_import_[dl_raw]_[camsnbo_incsdocument]_[copy_data]__targetEntity;ENTITY;host_hdp_eiap__hive_eiap_db__DL_RAW__camsnbo_incsdocument;765675431;"863147565";2025-08-18 15:28:44.000
